"","Sample_1_1","Sample_1_2","Sample_1_3","Sample_1_4","Sample_2_1","Sample_2_2","Sample_2_3","Sample_2_4"
"ENSG00000163866",247,284,215,200,188,183,155,126
"ENSG00000237130",0,0,0,0,0,0,0,0
"ENSG00000232335",0,0,0,0,0,0,0,0
"ENSG00000232762",1,2,0,0,0,0,0,0
"ENSG00000162384",237,250,208,227,228,185,193,136
"ENSG00000162391",0,0,2,0,0,0,0,0
"ENSG00000117859",887,1231,1000,1111,699,601,624,481
"ENSG00000162396",66,84,79,60,64,34,42,53
"ENSG00000284686",0,0,0,0,0,0,0,0
"ENSG00000162378",1019,1587,1037,976,1537,1256,1322,1000
"ENSG00000259818",0,1,1,3,0,2,0,0
"ENSG00000234318",1,0,3,1,3,1,1,0
"ENSG00000227485",0,0,0,0,0,0,0,0
"ENSG00000236646",0,0,0,0,0,0,0,0
"ENSG00000243725",3,5,8,6,8,12,4,6
"ENSG00000171872",0,0,0,0,0,0,0,0
"ENSG00000162407",75,107,83,108,30,19,27,24
"ENSG00000163877",100,127,107,118,138,107,113,96
"ENSG00000228929",43,66,65,87,72,57,86,56
"ENSG00000224570",0,0,0,0,0,0,0,0
"ENSG00000224980",0,0,0,0,1,0,0,0
"ENSG00000278967",2,0,1,2,0,0,1,1
"ENSG00000157184",103,142,133,124,73,61,69,48
"ENSG00000198815",569,892,678,647,616,494,564,455
"ENSG00000134744",483,719,561,532,658,614,596,470
"ENSG00000233910",0,1,0,0,0,0,1,0
"ENSG00000287703",0,0,0,0,0,0,1,0
"ENSG00000283039",0,1,0,0,0,0,0,0
"ENSG00000229294",1,1,0,0,0,1,0,5
"ENSG00000236973",0,0,1,0,0,0,0,0
"ENSG00000277397",0,0,0,0,0,0,0,0
"ENSG00000162385",51,65,66,61,52,35,61,37
"ENSG00000275350",0,0,0,0,0,0,0,0
"ENSG00000123080",3,8,1,5,0,0,0,0
"ENSG00000285778",2,7,2,3,1,0,3,0
"ENSG00000233407",0,0,0,0,0,0,0,0
"ENSG00000162598",0,0,0,1,0,0,0,1
"ENSG00000280317",0,0,0,0,0,0,0,0
"ENSG00000162415",354,596,427,393,882,708,763,640
"ENSG00000162600",18,19,21,12,6,5,13,11
"ENSG00000116704",245,419,338,279,163,138,144,93
"ENSG00000157193",632,966,712,653,1147,901,942,786
"ENSG00000116205",153,219,179,155,181,150,210,148
"ENSG00000233994",3,2,1,0,0,1,2,0
"ENSG00000227556",0,0,0,0,0,0,0,0
"ENSG00000162607",162,222,163,188,182,106,137,116
"ENSG00000285954",0,0,0,0,0,0,0,1
"ENSG00000233333",0,0,0,0,0,0,0,0
"ENSG00000154027",349,561,380,419,280,310,347,201
"ENSG00000234108",0,0,0,0,0,0,0,0
"ENSG00000232676",0,0,0,1,0,0,0,0
"ENSG00000213579",0,1,0,1,0,0,0,0
"ENSG00000137960",5,3,6,1,4,1,0,1
"ENSG00000237852",1,0,0,2,1,0,0,0
"ENSG00000132855",0,1,1,1,2,0,3,2
"ENSG00000270549",0,0,0,0,0,0,0,1
"ENSG00000237163",0,0,0,0,0,0,0,0
"ENSG00000229636",0,0,0,0,0,0,0,0
"ENSG00000116675",2247,3128,2125,2128,2783,2368,2714,2114
"ENSG00000162433",99,155,167,193,78,28,45,50
"ENSG00000213625",554,786,611,637,205,188,156,128
"ENSG00000233664",0,0,0,0,0,0,0,0
"ENSG00000158966",432,738,562,515,355,405,367,314
"ENSG00000213703",1,0,2,0,0,1,0,1
"ENSG00000153898",2,1,0,0,0,0,0,1
"ENSG00000117069",405,566,446,424,74,40,55,39
"ENSG00000125703",57,96,71,68,73,47,75,40
"ENSG00000234144",1,0,0,1,1,1,0,0
"ENSG00000277670",0,0,0,0,0,0,0,0
"ENSG00000227466",0,0,1,0,0,0,0,0
"ENSG00000230498",3,2,0,5,1,0,0,0
"ENSG00000162618",5,7,1,5,0,0,0,0
"ENSG00000224493",0,1,0,0,0,0,0,1
"ENSG00000131233",0,0,0,1,0,0,1,1
"ENSG00000229225",0,0,0,0,0,0,0,0
"ENSG00000225598",0,0,0,0,0,0,0,0
"ENSG00000137941",379,584,403,386,401,437,423,290
"ENSG00000286548",0,1,1,2,1,0,1,2
"ENSG00000272094",0,0,0,0,0,3,0,0
"ENSG00000228853",0,0,0,0,1,0,0,0
"ENSG00000284895",0,0,0,0,0,0,0,0
"ENSG00000117174",141,266,168,180,183,202,192,136
"ENSG00000184313",1,3,4,3,1,1,0,0
"ENSG00000288543",3,14,2,9,2,2,0,0
"ENSG00000122420",40,71,28,29,30,35,59,32
"ENSG00000143013",704,796,674,683,1406,1074,1331,1130
"ENSG00000226084",71,81,63,123,86,66,80,48
"ENSG00000134748",353,548,366,418,458,373,422,258
"ENSG00000142892",265,402,293,362,211,184,201,142
"ENSG00000229332",0,0,0,0,0,0,0,0
"ENSG00000227937",0,0,0,0,0,0,0,0
"ENSG00000229752",0,1,0,0,0,0,0,0
"ENSG00000233216",0,0,0,0,1,0,0,0
"ENSG00000197273",0,0,0,0,0,0,0,0
"ENSG00000226804",0,0,0,0,0,0,0,0
"ENSG00000230728",0,0,0,0,0,0,0,0
"ENSG00000232846",0,0,0,0,0,0,0,0
"ENSG00000230787",0,2,0,1,0,0,0,0
"ENSG00000116641",1018,1616,1227,1201,1066,951,1002,759
"ENSG00000172260",346,542,446,449,1056,567,662,493
"ENSG00000285473",0,1,4,1,0,0,0,0
"ENSG00000234578",0,0,0,0,0,0,0,0
"ENSG00000229505",0,0,0,0,0,0,0,0
"ENSG00000228187",0,1,0,0,0,0,0,0
"ENSG00000182183",1,8,1,7,12,6,8,2
"ENSG00000236407",0,0,0,0,0,0,0,0
"ENSG00000271949",0,0,0,0,0,0,0,0
"ENSG00000227062",0,0,0,0,0,0,0,0
"ENSG00000067334",311,395,332,373,429,348,369,265
"ENSG00000235011",0,0,0,0,0,0,0,0
"ENSG00000213559",0,0,0,0,0,0,0,0
"ENSG00000287587",0,1,0,0,0,0,0,0
"ENSG00000232882",10,8,2,8,1,2,5,2
"ENSG00000171502",3,14,10,5,3,4,3,1
"ENSG00000116157",12,24,10,11,1,3,1,0
"ENSG00000143036",15,27,16,28,3,2,3,3
"ENSG00000065243",206,288,286,200,209,158,171,113
"ENSG00000226960",0,0,0,0,0,0,0,0
"ENSG00000234080",0,0,0,0,0,0,0,1
"ENSG00000285409",0,0,0,0,0,0,0,0
"ENSG00000117528",437,584,490,595,533,369,475,327
"ENSG00000271723",0,0,1,0,0,0,0,0
"ENSG00000036549",380,527,425,436,367,330,353,252
"ENSG00000225191",0,0,0,0,0,0,0,0
"ENSG00000287870",3,7,3,8,5,5,3,7
"ENSG00000232048",0,0,0,0,0,0,0,0
"ENSG00000232857",0,0,0,0,0,0,0,0
"ENSG00000273637",0,0,0,0,0,0,0,0
"ENSG00000228838",0,0,1,0,1,0,0,1
"ENSG00000283761",3,0,1,4,1,0,5,3
"ENSG00000189433",0,0,0,1,0,0,0,0
"ENSG00000142700",5,22,17,10,1,1,0,0
"ENSG00000233514",0,0,0,0,1,0,0,0
"ENSG00000127124",472,810,467,398,321,308,314,293
"ENSG00000266993",5,9,8,2,8,9,4,6
"ENSG00000229316",0,0,0,0,0,0,0,0
"ENSG00000234099",0,0,0,0,0,0,0,0
"ENSG00000137936",101,151,129,119,330,124,208,174
"ENSG00000232752",0,0,0,0,0,0,0,0
"ENSG00000235829",0,1,0,0,0,1,0,0
"ENSG00000143032",0,1,0,0,0,0,0,0
"ENSG00000280040",0,4,3,0,0,1,0,0
"ENSG00000117519",1469,1889,1560,1700,784,617,781,616
"ENSG00000238037",0,0,0,0,0,0,0,0
"ENSG00000134215",140,191,158,161,232,198,270,224
"ENSG00000227935",1,2,0,0,2,0,3,0
"ENSG00000228502",6,5,1,8,2,2,2,4
"ENSG00000271277",0,0,0,0,0,0,0,0
"ENSG00000236888",0,1,0,0,0,0,0,0
"ENSG00000230828",0,0,0,0,2,1,0,0
"ENSG00000152078",57,77,73,92,77,43,77,59
"ENSG00000171492",390,561,418,447,416,373,449,367
"ENSG00000233129",0,0,0,0,0,0,0,0
"ENSG00000170989",2,12,6,4,2,1,2,2
"ENSG00000237897",0,1,0,0,0,0,0,0
"ENSG00000137962",122,208,171,191,16,7,6,9
"ENSG00000286692",0,0,0,0,0,0,0,0
"ENSG00000260464",23,21,15,12,45,55,52,40
"ENSG00000231996",0,0,0,0,0,0,0,0
"ENSG00000117154",3,9,3,6,3,7,22,18
"ENSG00000162377",333,427,292,312,575,558,614,469
"ENSG00000116774",62,67,53,43,10,4,5,4
"ENSG00000287756",1,3,0,0,2,0,3,1
"ENSG00000284652",1,0,1,1,4,0,1,1
"ENSG00000023909",177,272,167,178,96,90,76,72
"ENSG00000069702",15,19,19,21,3,3,5,3
"ENSG00000228399",0,0,0,0,0,0,0,0
"ENSG00000236776",0,0,1,0,0,0,0,1
"ENSG00000271252",0,0,0,0,0,0,1,1
"ENSG00000235794",0,0,0,0,0,0,0,0
"ENSG00000233983",0,0,2,0,0,0,0,0
"ENSG00000116793",465,600,519,501,275,230,194,177
"ENSG00000232918",0,0,0,0,0,0,0,0
"ENSG00000183298",71,86,83,85,75,68,72,56
"ENSG00000117525",12,10,9,16,0,0,71,1
"ENSG00000162699",0,0,0,0,0,0,0,0
"ENSG00000203914",48,71,52,66,18,18,21,12
"ENSG00000270457",1,0,0,2,0,2,1,1
"ENSG00000231987",0,0,0,0,0,0,0,0
"ENSG00000229842",0,0,0,0,0,0,0,0
"ENSG00000198162",575,934,694,620,554,471,466,352
"ENSG00000171517",2,0,1,0,0,0,0,0
"ENSG00000203864",0,0,0,0,0,0,0,0
"ENSG00000233482",0,0,0,0,0,0,0,0
"ENSG00000143079",501,680,590,557,835,735,787,618
"ENSG00000232450",5,9,10,5,10,7,3,7
"ENSG00000235038",0,0,0,1,0,1,1,0
"ENSG00000173947",75,84,57,76,2,2,1,0
"ENSG00000134198",1240,1741,1533,1747,113,145,146,89
"ENSG00000279513",1,3,3,5,0,0,1,1
"ENSG00000117620",118,193,136,94,158,149,137,101
"ENSG00000162688",368,521,411,371,326,252,261,174
"ENSG00000197106",224,362,230,194,274,348,352,314
"ENSG00000231072",0,0,0,0,0,0,0,0
"ENSG00000185946",262,393,377,371,163,174,185,108
"ENSG00000162627",154,210,158,227,22,24,22,13
"ENSG00000265808",400,552,531,549,237,226,271,176
"ENSG00000225923",0,0,0,0,0,0,0,0
"ENSG00000134247",1769,2866,2450,2290,341,241,310,251
"ENSG00000162664",333,555,411,363,495,452,456,289
"ENSG00000134253",72,92,83,66,54,72,61,42
"ENSG00000223416",1,1,0,1,1,2,2,0
"ENSG00000179571",0,0,0,0,0,0,1,0
"ENSG00000227850",25,19,19,29,13,11,10,7
"ENSG00000285532",0,1,0,0,0,0,0,0
"ENSG00000226755",0,0,0,0,0,0,0,0
"ENSG00000183508",26,33,29,25,1,0,0,1
"ENSG00000277095",0,0,0,0,0,0,0,0
"ENSG00000264145",0,0,0,0,0,0,0,0
"ENSG00000238256",0,0,0,0,0,0,0,0
"ENSG00000198765",0,0,0,0,0,0,0,0
"ENSG00000143398",384,520,458,504,360,369,369,323
"ENSG00000196505",161,227,171,148,170,147,164,124
"ENSG00000223489",1,0,0,2,0,0,0,0
"ENSG00000230546",0,0,0,0,0,0,0,0
"ENSG00000213262",0,0,0,0,0,0,0,0
"ENSG00000287015",0,0,0,0,0,0,0,1
"ENSG00000235526",2,3,0,1,0,1,0,0
"ENSG00000228347",0,0,0,0,0,0,0,0
"ENSG00000236012",0,0,0,0,0,0,0,0
"ENSG00000134200",8,12,11,14,0,0,0,0
"ENSG00000065183",223,338,275,254,321,235,265,191
"ENSG00000226126",0,0,0,0,0,0,0,0
"ENSG00000163156",209,247,183,226,222,189,226,173
"ENSG00000228453",0,0,0,0,0,0,0,0
"ENSG00000261168",25,16,20,14,16,34,28,23
"ENSG00000233432",0,1,0,0,0,1,0,0
"ENSG00000229911",0,0,0,0,0,0,0,0
"ENSG00000171943",65,102,99,90,76,68,117,86
"ENSG00000270719",0,0,0,0,0,0,0,0
"ENSG00000155761",35,61,59,47,3,5,3,2
"ENSG00000116830",116,176,127,119,17,25,25,9
"ENSG00000234422",0,0,0,0,0,0,0,0
"ENSG00000227091",1,1,1,0,0,0,0,0
"ENSG00000081026",413,594,413,411,341,321,372,312
"ENSG00000143458",44,71,39,31,38,22,42,39
"ENSG00000230932",0,0,0,0,0,0,0,0
"ENSG00000225036",0,0,0,0,0,0,0,0
"ENSG00000250890",0,0,0,0,0,0,0,0
"ENSG00000232240",0,0,0,0,0,0,0,0
"ENSG00000234388",0,0,0,0,0,0,0,0
"ENSG00000233717",0,0,0,0,0,0,0,0
"ENSG00000163155",182,256,171,185,279,179,257,193
"ENSG00000241975",0,6,2,1,4,1,2,0
"ENSG00000270976",0,0,0,0,0,0,0,0
"ENSG00000228217",0,0,0,1,0,0,0,0
"ENSG00000270342",0,0,0,0,0,0,0,0
"ENSG00000116824",2,5,13,19,0,0,0,0
"ENSG00000235887",0,0,0,0,0,0,0,0
"ENSG00000235756",0,0,0,0,0,0,0,0
"ENSG00000173810",0,0,0,0,0,0,0,0
"ENSG00000271890",0,0,0,0,0,0,0,0
"ENSG00000283360",0,0,4,1,0,1,1,0
"ENSG00000117262",37,52,40,51,41,35,65,47
"ENSG00000227970",0,0,0,0,0,0,0,0
"ENSG00000231613",0,1,0,0,0,0,2,0
"ENSG00000236689",0,0,0,0,0,0,0,0
"ENSG00000226028",0,0,0,0,0,0,0,0
"ENSG00000203825",0,0,0,0,0,0,0,0
"ENSG00000184371",103,177,111,105,29,16,11,26
"ENSG00000233449",0,0,0,0,0,0,0,0
"ENSG00000242943",0,0,0,0,0,0,0,0
"ENSG00000232499",13,24,15,15,29,24,19,11
"ENSG00000163154",2,3,0,0,0,1,1,0
"ENSG00000232995",9,6,3,7,3,4,5,3
"ENSG00000238087",0,0,0,1,0,0,0,0
"ENSG00000143158",213,296,235,274,342,308,403,281
"ENSG00000271092",2,6,4,4,4,1,1,5
"ENSG00000232148",0,0,0,0,0,0,0,0
"ENSG00000000460",25,58,29,28,33,25,35,30
"ENSG00000135862",1306,2230,1777,1519,143,113,113,109
"ENSG00000232952",81,129,105,81,149,114,113,75
"ENSG00000260322",0,0,0,0,0,0,0,0
"ENSG00000143156",104,147,109,123,84,78,109,73
"ENSG00000198771",0,0,1,0,0,0,0,0
"ENSG00000225462",29,30,24,15,21,12,28,18
"ENSG00000237756",0,0,0,0,1,0,0,0
"ENSG00000271187",0,0,0,0,0,0,0,0
"ENSG00000231175",0,0,0,0,0,0,0,0
"ENSG00000143185",0,0,0,0,0,0,0,0
"ENSG00000272931",4,1,1,3,14,4,2,5
"ENSG00000143190",503,829,718,649,1284,853,992,810
"ENSG00000225475",0,1,1,2,2,2,0,3
"ENSG00000232223",0,0,0,0,0,0,0,0
"ENSG00000224468",3,0,0,3,1,2,0,0
"ENSG00000232551",0,0,0,0,0,0,0,0
"ENSG00000238270",0,0,0,0,0,0,0,0
"ENSG00000236025",0,0,0,0,0,0,0,0
"ENSG00000230704",0,0,0,0,0,0,0,0
"ENSG00000143171",196,304,170,158,98,131,121,119
"ENSG00000275767",0,0,0,0,0,0,0,0
"ENSG00000047410",905,1295,1147,1000,1292,964,964,652
"ENSG00000171806",25,32,27,31,46,32,48,26
"ENSG00000134216",0,0,0,0,0,0,0,0
"ENSG00000230748",1,0,0,0,0,0,0,0
"ENSG00000238108",0,0,0,0,0,0,0,0
"ENSG00000135842",7,11,18,9,3,1,1,3
"ENSG00000287472",0,0,0,0,0,0,0,0
"ENSG00000241318",29,24,28,28,40,36,22,32
"ENSG00000228238",1,1,2,1,3,5,3,4
"ENSG00000232393",0,0,1,1,0,0,0,0
"ENSG00000184155",0,0,0,0,0,0,0,0
"ENSG00000058085",99,150,138,112,10,6,4,1
"ENSG00000232917",0,0,0,0,0,0,0,1
"ENSG00000233057",0,1,1,0,3,0,1,0
"ENSG00000143167",0,3,2,4,2,1,0,2
"ENSG00000143184",2,1,2,0,1,5,0,2
"ENSG00000224691",0,0,0,0,0,0,0,0
"ENSG00000233626",1,3,1,2,2,2,2,0
"ENSG00000143228",16,19,17,27,4,0,4,1
"ENSG00000231714",0,0,0,0,0,0,0,0
"ENSG00000116833",2,1,1,1,1,2,2,1
"ENSG00000000457",88,134,95,108,126,96,102,77
"ENSG00000285638",0,0,0,0,4,0,0,0
"ENSG00000230987",0,1,0,1,0,1,0,0
"ENSG00000228167",0,1,0,0,0,0,0,0
"ENSG00000150732",0,0,0,0,0,0,0,0
"ENSG00000157064",1509,2041,1459,1514,2358,2111,2577,2083
"ENSG00000288139",0,0,0,0,0,0,0,0
"ENSG00000059588",190,413,286,276,496,464,350,307
"ENSG00000162782",0,1,0,2,0,0,0,1
"ENSG00000238051",0,0,0,0,0,0,0,0
"ENSG00000233196",0,1,0,4,3,4,2,0
"ENSG00000229220",0,0,0,0,0,0,0,0
"ENSG00000227747",0,0,0,0,0,0,0,0
"ENSG00000228081",0,0,0,0,0,0,0,0
"ENSG00000228020",0,0,0,0,0,0,0,2
"ENSG00000234975",7,5,5,7,1,5,5,2
"ENSG00000162851",52,73,72,75,38,41,46,23
"ENSG00000271427",0,3,1,0,0,2,1,0
"ENSG00000143353",96,131,132,119,62,54,56,47
"ENSG00000197965",2370,3237,2873,2940,1434,1245,1545,1314
"ENSG00000143493",228,294,199,219,236,167,175,159
"ENSG00000230777",1,4,1,1,1,0,0,0
"ENSG00000179397",21,36,26,19,7,6,9,4
"ENSG00000224540",0,0,0,0,0,0,0,0
"ENSG00000186197",26,36,25,22,7,18,11,8
"ENSG00000229067",0,0,0,0,0,0,0,0
"ENSG00000261182",0,0,0,0,0,0,0,0
"ENSG00000162670",129,191,129,118,117,178,169,114
"ENSG00000225712",0,0,0,0,0,0,0,0
"ENSG00000162761",3,5,3,4,9,2,3,2
"ENSG00000143199",0,0,1,5,3,5,2,6
"ENSG00000007908",1,2,0,1,0,0,0,0
"ENSG00000092978",194,279,179,207,191,173,176,112
"ENSG00000188404",13,25,23,20,0,0,0,1
"ENSG00000274702",0,0,0,0,0,0,1,0
"ENSG00000226211",0,0,0,0,0,0,0,0
"ENSG00000203697",3,1,0,1,0,0,1,0
"ENSG00000116574",604,817,652,693,257,244,285,266
"ENSG00000143248",86,110,119,135,8,17,16,9
"ENSG00000162814",40,44,40,55,17,8,16,8
"ENSG00000225172",0,0,0,0,0,0,0,0
"ENSG00000261642",0,0,0,0,0,1,0,1
"ENSG00000228239",0,0,0,0,0,0,0,0
"ENSG00000237283",0,0,0,0,0,0,0,0
"ENSG00000116132",5,4,4,2,1,0,0,0
"ENSG00000229242",0,0,0,0,0,0,0,0
"ENSG00000234984",0,0,0,0,0,0,0,0
"ENSG00000229983",0,0,0,0,0,0,0,0
"ENSG00000225122",0,0,0,0,0,0,0,0
"ENSG00000225920",2,3,8,4,1,3,2,4
"ENSG00000143476",37,67,33,46,3,2,0,0
"ENSG00000057252",223,368,291,306,237,160,197,173
"ENSG00000285718",0,0,0,0,0,0,0,0
"ENSG00000233018",0,0,0,0,0,0,0,0
"ENSG00000224783",0,0,0,0,0,0,0,0
"ENSG00000162852",553,762,532,568,379,315,380,281
"ENSG00000268062",0,0,0,1,0,0,0,0
"ENSG00000116962",79,115,97,92,7,21,13,14
"ENSG00000229757",0,0,0,1,0,0,0,0
"ENSG00000220749",0,1,0,0,1,3,1,1
"ENSG00000181450",127,124,133,125,172,163,144,94
"ENSG00000225300",0,1,0,1,1,0,1,1
"ENSG00000223842",0,0,1,1,1,0,0,1
"ENSG00000143355",8,8,1,6,2,10,8,3
"ENSG00000237193",0,0,0,0,0,0,0,0
"ENSG00000223490",0,0,0,0,0,0,0,0
"ENSG00000174502",12,19,9,9,0,0,0,0
"ENSG00000143195",373,570,379,385,97,46,52,31
"ENSG00000162849",1675,2618,1693,1413,791,603,751,687
"ENSG00000232824",0,0,0,0,0,0,0,0
"ENSG00000067533",115,168,131,113,199,147,180,126
"ENSG00000228955",0,0,0,2,0,0,0,0
"ENSG00000224702",0,0,0,0,0,0,0,0
"ENSG00000271811",0,0,0,0,0,0,0,0
"ENSG00000224278",0,0,0,0,0,0,0,0
"ENSG00000226486",0,0,0,0,0,0,0,0
"ENSG00000227687",0,0,0,0,0,0,0,0
"ENSG00000231814",0,0,0,0,0,0,0,0
"ENSG00000277007",5,0,2,3,12,2,4,3
"ENSG00000229016",0,0,0,0,0,0,0,0
"ENSG00000152104",265,446,399,320,9,3,4,3
"ENSG00000117650",11,26,17,27,1,1,1,0
"ENSG00000203724",19,34,17,22,1,2,2,1
"ENSG00000225006",0,0,0,0,0,0,0,0
"ENSG00000223375",0,0,0,0,0,0,0,0
"ENSG00000230714",0,0,0,0,0,0,0,0
"ENSG00000173726",1055,1546,1299,1259,1367,972,1274,891
"ENSG00000282852",0,0,0,0,0,0,1,0
"ENSG00000152382",204,305,250,273,304,275,318,248
"ENSG00000232100",0,0,0,0,0,0,0,0
"ENSG00000230547",0,0,0,0,0,0,0,0
"ENSG00000232215",6,2,1,0,0,0,0,1
"ENSG00000135829",1796,2330,1719,1803,2066,1684,1860,1461
"ENSG00000134717",782,1141,836,948,1179,994,1191,965
"ENSG00000278180",0,0,0,0,0,0,0,0
"ENSG00000232341",0,0,0,0,0,0,0,0
"ENSG00000287676",0,2,2,1,3,2,2,1
